,first_name,last_name,city,state,country,nationality,pdga_num,player_rating,rating_effective_date,player_class,result_id,tournament_division,tournament_place,tied_finish,formatted_place,shot_total,tournament_total_to_par,prize_usd,tournament_dnf,tournament_average_rating,tournament_rating_delta,score_id,round,tee_time,course_name,layout_name,par,round_score,score_to_par,round_dnf,num_birdies,num_bogeys,round_rating,num_holes,layout_length,Hole 1,Hole 2,Hole 3,Hole 4,Hole 5,Hole 6,Hole 7,Hole 8,Hole 9,Hole 10,Hole 11,Hole 12,Hole 13,Hole 14,Hole 15,Hole 16,Hole 17,Hole 18
0,Brandon,Martin,Mohnton, PA,US,,199207,989,2025-10-14,Professional,212159772,MPO,1,False,1st,125,-11,647,False,1022,33,26391524,1,08:48:01,Nockamixon State Park,HooDoo,68,63,-5,False,8,3,1019,18,9289,5,5,2,3,3,6,3,3,3,3,3,3,4,5,2,3,3,4
1,Brandon,Martin,Mohnton, PA,US,,199207,989,2025-10-14,Professional,212159772,MPO,1,False,1st,125,-11,647,False,1022,33,26419462,2,01:40:00,Nockamixon State Park,HooDoo,68,62,-6,False,7,1,1024,18,9289,6,3,2,3,3,4,3,4,3,4,3,3,4,4,3,3,4,3
2,Mike,Carman,Ottsville, PA,US,,48559,995,2025-10-14,Professional,212122708,MPO,2,False,2nd,127,-9,431,False,1016,21,26391909,1,08:43:01,Nockamixon State Park,HooDoo,68,64,-4,False,7,3,1013,18,9289,5,3,2,3,3,4,4,4,4,4,5,2,4,6,2,2,3,4
3,Mike,Carman,Ottsville, PA,US,,48559,995,2025-10-14,Professional,212122708,MPO,2,False,2nd,127,-9,431,False,1016,21,26419460,2,01:40:00,Nockamixon State Park,HooDoo,68,63,-5,False,6,1,1018,18,9289,5,3,3,3,3,4,3,4,4,3,3,3,4,6,3,2,4,3
4,Andrew,Fish,Baltimore, MD,US,,58320,1009,2025-10-14,Professional,211964506,MPO,4,False,4th,132,-4,250,False,999,-10,26391664,1,08:44:01,Nockamixon State Park,HooDoo,68,64,-4,False,6,2,1013,18,9289,6,3,2,4,3,4,3,4,4,4,3,3,4,5,4,2,3,3
5,Andrew,Fish,Baltimore, MD,US,,58320,1009,2025-10-14,Professional,211964506,MPO,4,False,4th,132,-4,250,False,999,-10,26419459,2,01:40:00,Nockamixon State Park,HooDoo,68,68,0,False,4,4,985,18,9289,5,4,3,3,3,4,5,5,3,4,4,3,5,4,3,3,4,3
6,Mark,Saraceno,Whitehall, PA,US,,82817,989,2025-10-14,Professional,212159766,MPO,3,False,3rd,129,-7,320,False,1009,20,26391828,1,08:44:01,Nockamixon State Park,HooDoo,68,66,-2,False,6,4,1000,18,9289,6,3,3,3,3,5,3,4,4,4,5,4,3,4,2,2,4,4
7,Mark,Saraceno,Whitehall, PA,US,,82817,989,2025-10-14,Professional,212159766,MPO,3,False,3rd,129,-7,320,False,1009,20,26419461,2,01:40:00,Nockamixon State Park,HooDoo,68,63,-5,False,6,1,1018,18,9289,4,3,3,3,3,4,2,4,4,5,4,3,4,5,3,2,4,3
8,Tim,Moyer,Palmerton, PA,US,,84632,959,2025-10-14,Professional,212172311,MPO,11,True,T-11th,139,3,91,False,976,17,26391525,1,08:48:01,Nockamixon State Park,HooDoo,68,67,-1,False,4,3,993,18,9289,6,4,3,5,3,4,3,4,4,3,4,2,4,4,4,2,4,4
9,Tim,Moyer,Palmerton, PA,US,,84632,959,2025-10-14,Professional,212172311,MPO,11,True,T-11th,139,3,91,False,976,17,26418460,2,01:40:00,Nockamixon State Park,HooDoo,68,72,4,False,3,7,958,18,9289,7,4,3,4,2,4,3,4,3,4,3,4,7,5,3,3,4,5
10,David,Dunn,Sinking Spring, PA,US,,88153,992,2025-10-14,Professional,212064286,MPO,9,True,T-9th,137,1,111,False,983,-9,26391523,1,08:48:01,Nockamixon State Park,HooDoo,68,67,-1,False,6,5,993,18,9289,7,3,2,4,4,4,3,5,4,4,3,3,4,4,3,2,3,5
11,David,Dunn,Sinking Spring, PA,US,,88153,992,2025-10-14,Professional,212064286,MPO,9,True,T-9th,137,1,111,False,983,-9,26418457,2,01:40:00,Nockamixon State Park,HooDoo,68,70,2,False,2,4,972,18,9289,5,4,3,5,3,6,3,4,4,4,5,3,4,5,3,2,3,4
12,Devin,Frederick,Hellertown, PA,US,,16287,992,2025-10-14,Professional,212159768,MPO,6,True,T-6th,135,-1,147,False,989,-3,26391829,1,08:44:01,Nockamixon State Park,HooDoo,68,68,0,False,3,3,987,18,9289,5,3,3,3,3,4,3,4,5,4,5,3,4,5,3,3,3,5
13,Devin,Frederick,Hellertown, PA,US,,16287,992,2025-10-14,Professional,212159768,MPO,6,True,T-6th,135,-1,147,False,989,-3,26418459,2,01:40:00,Nockamixon State Park,HooDoo,68,67,-1,False,5,4,991,18,9289,6,3,3,3,3,4,3,3,3,4,3,3,5,6,3,3,4,5
14,Joshua,Robbins,Emmaus, PA,US,,265067,958,2025-10-14,Professional,212159765,MPO,6,True,T-6th,135,-1,147,False,989,31,26391910,1,08:43:01,Nockamixon State Park,HooDoo,68,68,0,False,4,4,987,18,9289,4,4,4,4,4,4,3,5,4,4,3,3,5,4,3,3,4,3
15,Joshua,Robbins,Emmaus, PA,US,,265067,958,2025-10-14,Professional,212159765,MPO,6,True,T-6th,135,-1,147,False,989,31,26418458,2,01:40:00,Nockamixon State Park,HooDoo,68,67,-1,False,5,4,991,18,9289,5,6,2,4,3,4,2,4,3,3,4,3,5,4,3,4,4,4
